song_uuid,album_uuid,track_number,song_title,song_singers,song_rating,youtube_url,music_yt_url_1,music_yt_url_2,music_yt_url_3,youtubeurlid,musicurlid1,musicurlid2,musicurlid3
075151b3-fbee-59ce-a69c-2a7927721bb9,9298a398-3a6b-5ad2-a4cf-844b5258320b,5,Dil Jo Na Keh Saka (Female),Lata Mangeshkar,4.33,http://www.youtube.com/watch?v=IFEwzBJlpb4,https://music.youtube.com/watch?v=6L3hcY8ID9Y,https://music.youtube.com/watch?v=IFEwzBJlpb4,https://music.youtube.com/watch?v=hZhtIhQgpaM,IFEwzBJlpb4,6L3hcY8ID9Y,IFEwzBJlpb4,hZhtIhQgpaM
5731bbd6-e635-512b-be10-b832da87fad6,9298a398-3a6b-5ad2-a4cf-844b5258320b,6,Dil Jo Na Keh Saka (Male),Mohammed Rafi,4.33,https://www.youtube.com/watch?v=-_t8RVlTQ6A,https://music.youtube.com/watch?v=CxtzLx4C2UM,https://music.youtube.com/watch?v=IFEwzBJlpb4,https://music.youtube.com/watch?v=w3VwYconjX4,-_t8RVlTQ6A,CxtzLx4C2UM,IFEwzBJlpb4,w3VwYconjX4
61dd8a63-58d5-5213-8fa8-dc960bc61e4e,d9dd889b-e46c-5bbf-972e-426b263eb651,2,O Mere Pyar Aaja,Lata Mangeshkar,4.33,http://www.youtube.com/watch?v=BdfBbmT-_Aw,https://music.youtube.com/watch?v=BdfBbmT-_Aw,https://music.youtube.com/watch?v=RNorlDhAr_M,https://music.youtube.com/watch?v=046yn85TaD0,BdfBbmT-_Aw,BdfBbmT-_Aw,RNorlDhAr_M,046yn85TaD0
4bd474ef-294d-5469-99ef-e91b59e44749,b0fb4fba-ee48-5782-95f2-6a9e7cee2627,1,Baagh Mein Kali Khili,Asha Bhosle,4.67,https://www.youtube.com/watch?v=5ms3EygjbKI,https://music.youtube.com/watch?v=c9xFDQWvyVc,https://music.youtube.com/watch?v=EXuvH7z-W-o,https://music.youtube.com/watch?v=s9MDbfAQinA,5ms3EygjbKI,c9xFDQWvyVc,EXuvH7z-W-o,s9MDbfAQinA
3998deb4-dff5-52a7-9f2b-ce98a1060aca,925f99ae-d32a-567b-ab7d-6269a566450d,1,Gaata Rahe Mera Dil,"Lata Mangeshkar, Kishore Kumar",4.54,https://www.youtube.com/watch?v=LGjDtDvrcRc,https://music.youtube.com/watch?v=gYiwh6EvOiI,https://music.youtube.com/watch?v=ecJCWt9X2Jw,https://music.youtube.com/watch?v=D4eH5y2SZJ0,LGjDtDvrcRc,gYiwh6EvOiI,ecJCWt9X2Jw,D4eH5y2SZJ0
8d350a66-0575-5dcb-9aba-d3f66645be46,925f99ae-d32a-567b-ab7d-6269a566450d,2,Wahan Kaun Hai Tera Musafir,S.D. Burman,4.5,https://www.youtube.com/watch?v=nezFXDk4jYA,https://music.youtube.com/watch?v=nezFXDk4jYA,https://music.youtube.com/watch?v=QC-hZgcCnPE,https://music.youtube.com/watch?v=NdGJ1FpjXbE,nezFXDk4jYA,nezFXDk4jYA,QC-hZgcCnPE,NdGJ1FpjXbE
cbd2e3dd-5e22-5612-a4ff-b7d099439599,925f99ae-d32a-567b-ab7d-6269a566450d,3,Piya Tose Naina Laage Re,Lata Mangeshkar,4.9,https://www.youtube.com/watch?v=SMKOwKskomc,https://music.youtube.com/watch?v=EF3Tlo-jSq4,https://music.youtube.com/watch?v=Q2wHr0mQi7s,https://music.youtube.com/watch?v=wAgfrdTcTHw,SMKOwKskomc,EF3Tlo-jSq4,Q2wHr0mQi7s,wAgfrdTcTHw
d221d409-be05-546e-9268-3789758bff3b,925f99ae-d32a-567b-ab7d-6269a566450d,4,Din Dhal Jaye Haye Raat Na Jaye,Mohammed Rafi,4.88,https://www.youtube.com/watch?v=6gcGxoGiOTE,https://music.youtube.com/watch?v=hu2khgJn7Vg,https://music.youtube.com/watch?v=6gcGxoGiOTE,https://music.youtube.com/watch?v=d3VY0NSYMCk,6gcGxoGiOTE,hu2khgJn7Vg,6gcGxoGiOTE,d3VY0NSYMCk
8d8699fe-0698-52d6-8563-e4c035749e49,925f99ae-d32a-567b-ab7d-6269a566450d,5,Aaj Phir Jeene Ki Tamanna Hai,Lata Mangeshkar,4.93,https://www.youtube.com/watch?v=sACLGUkLo3Q,https://music.youtube.com/watch?v=I3dIOG39ZHA,https://music.youtube.com/watch?v=Eylt4Rbq-RA,https://music.youtube.com/watch?v=pvQaiXjNmKo,sACLGUkLo3Q,I3dIOG39ZHA,Eylt4Rbq-RA,pvQaiXjNmKo
e86d681b-27b4-572f-93d8-932a42ae4504,925f99ae-d32a-567b-ab7d-6269a566450d,6,Tere Mere Sapne Ab Ek Rang Hain,Mohammed Rafi,4.9,https://www.youtube.com/watch?v=KDkaXiRNSHw,https://music.youtube.com/watch?v=IInhcBm-FB8,https://music.youtube.com/watch?v=eowwDKsGpPo,https://music.youtube.com/watch?v=iG0xd1RBtmQ,KDkaXiRNSHw,IInhcBm-FB8,eowwDKsGpPo,iG0xd1RBtmQ
ea78142f-fe17-5ca1-8a47-8d901a06ad3e,925f99ae-d32a-567b-ab7d-6269a566450d,7,Mose Chhal Kiye Jaye Haay Re Haay Dekho Saiyan Beimaan,Lata Mangeshkar,4.89,https://www.youtube.com/watch?v=NfH4KDqztL0,https://music.youtube.com/watch?v=NfH4KDqztL0,https://music.youtube.com/watch?v=8ChzI6CgsAk,https://music.youtube.com/watch?v=Y-r4yMtq6y0,NfH4KDqztL0,NfH4KDqztL0,8ChzI6CgsAk,Y-r4yMtq6y0
392facdf-4855-5e3a-b0b7-08d906419b3d,925f99ae-d32a-567b-ab7d-6269a566450d,8,Kya Se Kya Ho Gaya Bewafa Tere Pyar Mein,Mohammed Rafi,4.75,https://www.youtube.com/watch?v=j0yhX_VDu-o,https://music.youtube.com/watch?v=11JbDATmL-s,https://music.youtube.com/watch?v=oO06VuepdW0,https://music.youtube.com/watch?v=1Gn0fsXVjGA,j0yhX_VDu-o,11JbDATmL-s,oO06VuepdW0,1Gn0fsXVjGA
6d590bc1-8937-53ba-bd54-0f8d5e867d50,3e65c3d0-3320-5052-a29b-3f76f97fc14d,8,Jaan Pehchan Ho,Mohammed Rafi,4.5,http://www.youtube.com/watch?v=XnBbjc5hmho,https://music.youtube.com/watch?v=KX6t1AuoD6c,https://music.youtube.com/watch?v=XnBbjc5hmho,https://music.youtube.com/watch?v=3IbdnTeMGpM,XnBbjc5hmho,KX6t1AuoD6c,XnBbjc5hmho,3IbdnTeMGpM
95b64fa6-9282-5393-a848-036b279e0650,67f4e72e-ea1c-5acf-bcaf-eca038776557,3,Ajnabi Tum Jane Pehchane Se Lagte Ho (Male),Kishore Kumar,4.4,https://www.youtube.com/watch?v=q3TTsBpNSSQ,https://music.youtube.com/watch?v=ZrCDwaVsqGU,https://music.youtube.com/watch?v=Kxk21D1PNNk,https://music.youtube.com/watch?v=bL7ucGNJmFY,q3TTsBpNSSQ,ZrCDwaVsqGU,Kxk21D1PNNk,bL7ucGNJmFY
21ea1267-2010-5d96-9429-dc01208467b1,cf1baa24-9b50-5951-85a6-001f73db46ce,5,Yeh Sama Sama Hai Ye Pyar Ka,Lata Mangeshkar,4.5,https://www.youtube.com/watch?v=Sd4dVbmPSAA,https://music.youtube.com/watch?v=lzYnTE1ZkRQ,https://music.youtube.com/watch?v=h27t_puF9Ws,https://music.youtube.com/watch?v=6RtHkptRWFA,Sd4dVbmPSAA,lzYnTE1ZkRQ,h27t_puF9Ws,6RtHkptRWFA
850a7cbc-9126-5035-a93f-9e32c53f4dd0,d04ffda1-946b-5117-8c76-7cd1b63f189d,5,Tumhin Meri Mandir Tumhin Meri Pooja Tumhin Devta Ho,Lata Mangeshkar,4.5,https://www.youtube.com/watch?v=URrRzFikcD0,https://music.youtube.com/watch?v=Nu8kLF9J-KY,https://music.youtube.com/watch?v=zmwpWYwYKpw,https://music.youtube.com/watch?v=M0cSjJGBXAk,URrRzFikcD0,Nu8kLF9J-KY,zmwpWYwYKpw,M0cSjJGBXAk
f51f6727-4624-554e-b279-2bc38f8db83c,3efc2a3d-806d-5181-a50b-30636eb7938d,1,Yeh Hai Reshmi Zulfon Ka Andhera Na Ghabraiye,Asha Bhosle,4.75,https://www.youtube.com/watch?v=lgWnO5IlWxY,https://music.youtube.com/watch?v=H-1UVGB7XIY,https://music.youtube.com/watch?v=zzlMOtmjak8,https://music.youtube.com/watch?v=kexksZ9tYm0,lgWnO5IlWxY,H-1UVGB7XIY,zzlMOtmjak8,kexksZ9tYm0
e7dcce2b-c717-5a50-bbb8-d40c86de165b,3efc2a3d-806d-5181-a50b-30636eb7938d,2,Yeh Ab Aap Sochiye (Humne To Dil Ko Aap Ke),"Asha Bhosle, Mohammed Rafi",4.5,https://www.youtube.com/watch?v=IhKGLfQzU40,https://music.youtube.com/watch?v=ezWRYJVzALg,https://music.youtube.com/watch?v=fCs1SbPXHgk,https://music.youtube.com/watch?v=2dmG8VEaw0U,IhKGLfQzU40,ezWRYJVzALg,fCs1SbPXHgk,2dmG8VEaw0U
f38f62ad-6c3a-5fda-a61c-09663183620c,3efc2a3d-806d-5181-a50b-30636eb7938d,3,Pukarta Chala Hoon Main,Mohammed Rafi,4.75,https://www.youtube.com/watch?v=rElkhrkfavw,https://music.youtube.com/watch?v=mBWxGosJ4Cw,https://music.youtube.com/watch?v=Lbh_skI9NMY,https://music.youtube.com/watch?v=GRo1dONJ74o,rElkhrkfavw,mBWxGosJ4Cw,Lbh_skI9NMY,GRo1dONJ74o
5c13cd8f-0330-5641-bd83-4bcb341cef5c,3efc2a3d-806d-5181-a50b-30636eb7938d,4,Jaiye Aap Kahan Jayenge,Asha Bhosle,4.71,https://www.youtube.com/watch?v=kENOkRBbsHs,https://music.youtube.com/watch?v=MpawL4IZfKg,https://music.youtube.com/watch?v=2CNPjc76nDk,https://music.youtube.com/watch?v=OUGG5RLGQGI,kENOkRBbsHs,MpawL4IZfKg,2CNPjc76nDk,OUGG5RLGQGI
a70462d0-798b-5acc-aef1-757961b45da7,3efc2a3d-806d-5181-a50b-30636eb7938d,7,Tukde Hain Mere Dil Ke,Mohammed Rafi,4.5,https://www.youtube.com/watch?v=gX0V_Aof23o,https://music.youtube.com/watch?v=KIvjtv9Cv8o,https://music.youtube.com/watch?v=G_UsJDYAfbc,https://music.youtube.com/watch?v=2ulm1Uc5lL4,gX0V_Aof23o,KIvjtv9Cv8o,G_UsJDYAfbc,2ulm1Uc5lL4
c21bca8a-ef45-5dc4-b255-8e97f0e5631e,c5c17e5c-f870-5e63-b79f-93f3b3cf399b,2,Thahariye Hosh Mein Aa Loon To Chale Jaaiyega,"Suman Kalyanpur, Mohammed Rafi",4.5,https://www.youtube.com/watch?v=4NhwjNDqiuA,https://music.youtube.com/watch?v=4NhwjNDqiuA,https://music.youtube.com/watch?v=o7mTIXuHqos,https://music.youtube.com/watch?v=D3Xuyky_Ukc,4NhwjNDqiuA,4NhwjNDqiuA,o7mTIXuHqos,D3Xuyky_Ukc
329371e8-8ffe-5cc3-9a26-1e540f0d9229,ec93208c-81b5-5d18-8277-1f888252b843,7,Karvan Guzar Gaya Gubar Dekhte Rahe (Swapn Jhare Phool Se),Mohammed Rafi,4.33,https://www.youtube.com/watch?v=75mB-zadZgI,https://music.youtube.com/watch?v=3xRuybDNVGw,https://music.youtube.com/watch?v=75mB-zadZgI,https://music.youtube.com/watch?v=X4148KaVae4,75mB-zadZgI,3xRuybDNVGw,75mB-zadZgI,X4148KaVae4
7c629f1d-7693-5d58-b507-e918dba88654,96ae4954-575d-5a11-915f-2244945af8ec,1,Mere Mehboob Na Ja Aaj Ki Raat Na Ja,Suman Kalyanpur,4.33,https://www.youtube.com/watch?v=hEP9_zCeX5I,https://music.youtube.com/watch?v=m0o53u0h0XY,https://music.youtube.com/watch?v=-6qdlcfvLdk,https://music.youtube.com/watch?v=BSFF2bx0iFk,hEP9_zCeX5I,m0o53u0h0XY,-6qdlcfvLdk,BSFF2bx0iFk
5e44041f-8ed5-5883-a7d0-263a485be405,0e53e7f4-f8e5-5903-923d-66ccba74e64c,1,Jaag Dil-E-Deewana Rut Jaagi Vasl-E-Yaar Ki,Mohammed Rafi,4.4,https://www.youtube.com/watch?v=e4YDtwvdhkU,https://music.youtube.com/watch?v=6VUCKqbddOw,https://music.youtube.com/watch?v=Qk7ZVnBbupw,,e4YDtwvdhkU,6VUCKqbddOw,Qk7ZVnBbupw,
e4b5d392-83b8-5330-a28e-491255d8ddd6,0e53e7f4-f8e5-5903-923d-66ccba74e64c,2,Aaja Re Mere Pyar Ke Raahi,"Lata Mangeshkar, Mahendra Kapoor",4.33,https://www.youtube.com/watch?v=Tp1NBgr5c3U,https://music.youtube.com/watch?v=Tp1NBgr5c3U,https://music.youtube.com/watch?v=6jB4t7SINlE,https://music.youtube.com/watch?v=__QLijRToPo,Tp1NBgr5c3U,Tp1NBgr5c3U,6jB4t7SINlE,__QLijRToPo
429e6002-6603-5c6e-846b-c24b70e59d7f,9d5fc655-294f-5312-9f32-21744f2f01fd,5,Saathi Re Tujh Bin Jiya Udaas Re,Lata Mangeshkar,4.33,https://www.youtube.com/watch?v=GXbE6SMsINU,https://music.youtube.com/watch?v=rYuVQxqQ-KA,https://music.youtube.com/watch?v=2o1Wl4BUCeA,https://music.youtube.com/watch?v=GXbE6SMsINU,GXbE6SMsINU,rYuVQxqQ-KA,2o1Wl4BUCeA,GXbE6SMsINU
54f34989-a1b1-533f-8658-e2bf18f4efee,639fa210-9c08-51a4-97c3-51be6d63c145,5,Humsafar Mere Humsafar,"Lata Mangeshkar, Mukesh",4.5,http://www.youtube.com/watch?v=9Pv3_gqJQ8k,https://music.youtube.com/watch?v=qqG3gxs_lgE,https://music.youtube.com/watch?v=-CXCeWCF_NA,https://music.youtube.com/watch?v=-u1ZMAOhF6Y,9Pv3_gqJQ8k,qqG3gxs_lgE,-CXCeWCF_NA,-u1ZMAOhF6Y
beba14d6-73a5-58a0-a692-62735768dec8,551228eb-578f-5ff8-9c09-b403dec9f67a,3,Yeh Dard Bhara Afsana,Kishore Kumar,4.5,https://www.youtube.com/watch?v=pU8PtgQ8R04,https://music.youtube.com/watch?v=kTxkULhR91E,https://music.youtube.com/watch?v=5ImkM__sPvY,https://music.youtube.com/watch?v=eXKBnIo5ouI,pU8PtgQ8R04,kTxkULhR91E,5ImkM__sPvY,eXKBnIo5ouI
