song_uuid,album_uuid,track_number,song_title,song_singers,song_rating,youtube_url,music_yt_url_1,music_yt_url_2,music_yt_url_3
7638ebb4-d657-56af-984b-46c99754aa7e,73672415-8dc7-5172-b096-8e3495538e05,1,Aye Khuda Ret Ke Sehra Ko Samundar Kar De,Jagjit Singh,4.5,https://www.youtube.com/watch?v=2rBCxFRnKUY,https://music.youtube.com/watch?v=t3ZaeUmshFM,https://music.youtube.com/watch?v=s3vyvynYPDI,https://music.youtube.com/watch?v=ctwWqTFmEkE
30b7e302-f8dc-5997-a5c2-07481239eab5,70d64b5a-b05a-5b6e-b04b-f3f30af632a7,3,Woh Kagaz Ki Kashti - 1,Jagjit Singh,4.2,http://www.youtube.com/watch?v=gHOGRuCh0FY&feature=fvst,https://music.youtube.com/watch?v=holzqWmJ430,https://music.youtube.com/watch?v=POiLQ_nxScQ,https://music.youtube.com/watch?v=VIS1hbTneYg
f384e228-3931-5c4c-b84d-468187e19537,70d64b5a-b05a-5b6e-b04b-f3f30af632a7,4,Woh Kagaz Ki Kashti - 2,Jagjit Singh,4.67,https://www.youtube.com/watch?v=N_D2NJ_-vpg,https://music.youtube.com/watch?v=h2_pWl0QgbY,https://music.youtube.com/watch?v=VIS1hbTneYg,https://music.youtube.com/watch?v=N_D2NJ_-vpg
f56448ef-b949-5c3e-b399-f6189c16bd20,315a9cba-f9e9-5342-ab9f-3082a66d5c5f,2,Shaam Hui Chadh Aayi Re Badariya,Lata Mangeshkar,4.0,https://www.youtube.com/watch?v=iB3VZ2d2MiE,https://music.youtube.com/watch?v=Oskr-R-zQ_g,https://music.youtube.com/watch?v=u9VqiwrVkR0,https://music.youtube.com/watch?v=iB3VZ2d2MiE
472c88d0-c6d2-5dd6-843a-1beddb9b8b9b,315a9cba-f9e9-5342-ab9f-3082a66d5c5f,3,Ek Andhera Lakh Sitare,Mohammed Aziz,4.0,https://www.youtube.com/watch?v=JlrTmlnAaU0,https://music.youtube.com/watch?v=2ff61cLLMjk,https://music.youtube.com/watch?v=uk_xT98z0aw,https://music.youtube.com/watch?v=JlrTmlnAaU0
3436bb0e-9e4b-5cb5-a892-aa125c00b86f,c689469b-45ad-56a9-b1e1-e6cc0ab90530,2,Jaiyo Na Jaiyo Na Door,"Kishore Kumar, Sabina Yasmin",4.0,https://www.youtube.com/watch?v=4C4Z5F1lmJ0,https://music.youtube.com/watch?v=myHsbPYiY1g,https://music.youtube.com/watch?v=4C4Z5F1lmJ0,https://music.youtube.com/watch?v=3OZhdpCs4DY
fccda62f-8398-5d29-8588-d1fad9b4e11a,c689469b-45ad-56a9-b1e1-e6cc0ab90530,5,Mera Naam Pannabai,"Asha Bhosle, Shailendra Singh",4.0,https://www.youtube.com/watch?v=Ix9k-oTAC_k,https://music.youtube.com/watch?v=skmlhF7m6ik,https://music.youtube.com/watch?v=Ix9k-oTAC_k,https://music.youtube.com/watch?v=hcWTN4RW1tA
c13bfbae-2aa3-55bd-84b8-84f054945415,8fb1575a-ba45-560d-8b98-5c4faaa05c7e,3,Mere Paas Aaoge Mere Saath Nachoge Mere Saath Gaoge,"Uttara Kelkar, Vijay Benedict",4.0,http://www.youtube.com/watch?v=baNqKx7u-BI&feature=plcp,https://music.youtube.com/watch?v=AZv4PUFD1Z4,https://music.youtube.com/watch?v=nUVrjcGd7js,https://music.youtube.com/watch?v=HzJElGBlbHA
fb4b92ed-f829-518a-8ff8-5ffe7a14aa4d,9c5c86aa-31c4-54fd-96e1-59be612cb2fe,1,Kisi Nazar Ko Tera Intezar Aaj Bhi Hai,"Asha Bhosle, Bhupinder Singh",4.67,https://www.youtube.com/watch?v=j8qtywZ6L70,https://music.youtube.com/watch?v=VNZYoUtX2k4,https://music.youtube.com/watch?v=GHQrfLXDz4k,https://music.youtube.com/watch?v=7ub8DyewfHg
de87b299-cc11-5a10-ba4f-ee2611528d9b,9c5c86aa-31c4-54fd-96e1-59be612cb2fe,2,Awaaz Di Hai Aaj Ik Nazar Ne,"Asha Bhosle, Bhupinder Singh",4.0,https://www.youtube.com/watch?v=hI8NbwkEAGs,https://music.youtube.com/watch?v=OySDtsWed_E,https://music.youtube.com/watch?v=6EwiBW04EUg,https://music.youtube.com/watch?v=lPntkr-Z2C8
dce361f7-d270-5549-a503-c1d3841016d2,9c5c86aa-31c4-54fd-96e1-59be612cb2fe,4,Tum Aur Main Aur Ye Bekhudi,Asha Bhosle,4.0,https://www.youtube.com/watch?v=bKRuCbXlwK0,https://music.youtube.com/watch?v=bKRuCbXlwK0,https://music.youtube.com/watch?v=i02VhCh7o8M,https://music.youtube.com/watch?v=7yFKRzLm4aU
ee9078eb-d880-5682-9974-289fb9dbd4f2,9c5c86aa-31c4-54fd-96e1-59be612cb2fe,5,Tu Ru Ru Ru,Maya Ghosh,4.0,https://www.youtube.com/watch?v=78NLRYYOlUo,https://music.youtube.com/watch?v=78NLRYYOlUo,https://music.youtube.com/watch?v=VlOA6mJXCPQ,https://music.youtube.com/watch?v=WPOrsUGYfH0
9b77ef94-c96a-5c41-a34d-8c40839baded,973c4a0c-441f-59de-b644-db5d494336ef,6,Dil Mein Aag Lagaye Sawan Ka Mahina (Male),Kishore Kumar,4.0,http://www.youtube.com/watch?v=9Ie-Y8JL5t4&feature=plcp,https://music.youtube.com/watch?v=9Ie-Y8JL5t4,https://music.youtube.com/watch?v=VMlyJtXExWY,https://music.youtube.com/watch?v=CGKtDrY3fzw
b976c3d4-cf8c-51c1-83b2-5df6e85d1bd9,973c4a0c-441f-59de-b644-db5d494336ef,8,Kabhi Bekasi Ne Maara,Kishore Kumar,4.0,http://www.youtube.com/watch?v=hXs6fnJ2UDs&feature=plcp,https://music.youtube.com/watch?v=hXs6fnJ2UDs,https://music.youtube.com/watch?v=RrquQS1Gj2o,https://music.youtube.com/watch?v=RDZABOl2ZMw
