album_uuid,album_title,album_year,album_category,album_music_director,album_lyricist,album_label,album_rating
81306ddf-fac5-5a77-9a27-f22ebbb77605,Aashique Mastane,1995,"Hindi, Film",Dilip Sen - Sameer Sen,"Rani Malik, Nawab Arzoo, Maya Govind, Deepak Chaudhary",BMB Music,0
a50b93e2-e64f-5619-ad7b-665ad47cfd8b,Aatank Hi Aatank,1995,"Hindi, Film",Bappi Lahiri,"Naqsh Lyallpuri, Anwar Sagar, Shaily Shailendra, Bali Brahmbhatt, Sanam Gazipuri",Tips,0
2d9fc5ec-8ef6-5808-8ba9-9c94b2b55894,Aazmayish,1995,"Hindi, Film",Anand - Milind,Anand Bakshi,Tips,0
46fe1556-8ae4-5e1c-acdd-62d72d228bf4,Ahankaar,1995,"Hindi, Film",Anu Malik,Anand Bakshi,Ultra,3.0
1d00a43a-0e96-55cc-ae10-31da9424e21b,Akele Hum Akele Tum,1995,"Hindi, Film",Anu Malik,Majrooh Sultanpuri,Venus,4.25
3386ccb3-5a0c-51c5-9352-8d649f0d2839,Andolan,1995,"Hindi, Film",Nadeem - Shravan,Sameer,Tips,3.5
dda29834-e75d-5594-ac95-a604550ff406,Angrakshak,1995,"Hindi, Film",Anand - Milind,Sameer,Tips,0
e47e92c3-881f-58c4-811d-101e82042885,Baazi,1995,"Hindi, Film",Anu Malik,"Majrooh Sultanpuri, Anwar Sagar",S Series,4.0
657cf1c0-2a18-5d32-bf98-176cd7192af2,Barsaat,1995,"Hindi, Film",Nadeem - Shravan,"Anwar Sagar, Sameer",Tips,4.0
45a8c6c7-490f-5681-867d-49eba908da35,Bewafa Sanam,1995,"Hindi, Film","Raju Singh, Nikhil - Vinay, Attaullah Khan, Amar - Utpal, Milind Sagar","Tabish Romani, Attaullah Khan, Sameer, Rani Malik",T-Series,0
eb4a291a-9523-57f7-91ec-0ffc4b4986b2,Bolo Ta Ra Ra,1995,"Hindi, Non Film",Jawahar Wattal,Daler Mehndi,Magnasound,4.0
2233ce1c-39d1-57fb-8682-d0f8d407a965,Bombay,1995,"Hindi, Film",A.R. Rahman,Mehboob Kotwal,Music India,4.67
68838290-612e-5e08-a2ce-9db5160a34fd,Chahat,1995,"Hindi, Film",Shyam - Surender,"Zameer Qazmi, Rani Malik, Madan Pal, Satish - I, Deepak Chaudhary",T-Series,0
a5cb96f4-b11f-53d1-8044-a36d84cae5d2,Chhaila,1995,"Hindi, Film",Ilaiyaraaja,P.K. Mishra,Time Audio,0
d01665d3-006c-50fe-8b4b-7e0e8c9ff3c1,Coolie No. 1,1995,"Hindi, Film",Anand - Milind,Sameer,Tips,0
ebf654fd-6b47-5185-8cbc-3c6fba24b35a,Criminal,1995,"Hindi, Film",M.M. Kreem,Indeevar,H.M.V.,4.0
4131019a-115d-52bf-825b-fd1888263497,Cry For Cry,1995,"Hindi, Non Film",Jagjit Singh,"Khaleel Dhantejvi, Sudarshan Faakir, Nand Lal Pathak, Abu Taalib, Waseem Barelvi, Kashmiri Lal Zakir, Nawaz Deobandi, Allama Iqbal",Saregama,0
a858ad7f-b15f-5e6a-80f9-0dbbe36107f5,Dance Party,1995,"Hindi, Film",Baba Sehgal,"Baba Sehgal, Saeed Rahi",Time Audio,0
0a540b07-e507-5fa2-a296-a531680aadb6,Dastaan,1995,"Hindi, Non Film","Ali Haider, Imran Ali - I, Nadeem Jafri",Ali Haider,,0
38db9331-a631-5d11-b36c-93f61de6dccd,Dil Ka Doctor,1995,"Hindi, Film",Bappi Lahiri,"Shaily Shailendra, Maya Govind, Dr. Deepak, Dev Kohli",Zee Music Company,0
bef9f989-67f2-5d18-918a-0481073f75f7,Dilwale Dulhania Le Jayenge,1995,"Hindi, Film",Jatin - Lalit,Anand Bakshi,H.M.V.,4.67
3c1a4c24-f5e4-5fef-bc51-9849daec790f,Diya Aur Toofan,1995,"Hindi, Film",Bappi Lahiri,Ikram Rajasthani,BMB Music,0
79e9167f-0fc9-5ad1-8816-882dbcda7f15,Dole Dole,1995,"Hindi, Non Film",Rahman Rajan,Arun Raaj,Magnasound,3.0
72486d9f-4fdc-5b1b-b5c0-f5335731c13f,Dushmani,1995,"Hindi, Film","Anand - Milind, Traditional",Sameer,Saregama,0
8c9f8ac3-07fe-56e2-bc2b-eb91afc975ba,Fauji,1995,"Hindi, Film",Vishal Bhardwaj,"Vishal Bhardwaj, Ibrahim Ashq, Madan Pal, M.M. Shamim",Time Magnetics,0
919baa01-1a68-5d42-a60d-144728687192,Gaddaar,1995,"Hindi, Film",Nadeem - Shravan,Sameer,Weston,3.0
b1020e3f-6626-57a3-a13e-562849d1a68c,Gambler,1995,"Hindi, Film",Anu Malik,"Anwar Sagar, Dev Kohli, Faaiz Anwar, M.G. Hashmat, Nawab Arzoo, Vinay Dave, Ibrahim Ashq",Time Audio,0
2ab66721-efcb-580f-82b0-ab0d07f2ab1e,Ganga Maange Khoon,1995,"Hindi, Film",Rajkamal,"Mahendra Dehlvi, Abhilash",,0
c81b8d82-da15-5559-8640-a91dd30fc791,Ghar Ka Kanoon,1995,"Hindi, Film",Sapan - Jagmohan,Ram Nath Shukla,Universal,0
91319058-5fc2-51f5-bc80-0834586ca2b9,God And Gun,1995,"Hindi, Film",Anand - Milind,"Pagal Adilabadi, Sameer",BMB Music,0
159e1edb-6731-5ca0-a932-ab521c822889,Guddu,1995,"Hindi, Film",Naushad,Majrooh Sultanpuri,Venus,0
889003bc-6788-5287-9234-c3d931bbc2ea,Gunda Mawali,1995,"Hindi, Film",Jatin - Lalit,"Dev Kohli, Vinoo Mahendra, Anwar Sagar, Zameer Kazmi",Time Audio,0
b6437776-8239-54a0-b75e-d3340a22c996,Gundaraj,1995,"Hindi, Film",Anu Malik,"Shyam Anuragi, Rahat Indori, Zameer Kazmi, Zafar Gorakhpuri",Venus,4.0
5d2637ab-aff4-5306-a863-1322e2a08694,Gunehgar,1995,"Hindi, Film",Shyam - Surender,"Maan Singh Deep, Surendra Sathi, Mithilesh Maan Singh",Time Magnetics,0
c41bc6a8-480e-5a4e-9013-4114efd0f093,Haathkadi,1995,"Hindi, Film",Anu Malik,"Maya Govind, Anu Malik, Dev Kohli",Tips,0
2135d9f4-bd4b-5368-949e-5d80c8d990de,Haqeeqat,1995,"Hindi, Film",Dilip Sen - Sameer Sen,"Gulshan Bawra, Faaiz Anwar, Nawab Arzoo, Rani Malik, Maya Govind",Tips,0
1b041167-db55-5dc8-ae2c-d6c4989df335,Hulchul,1995,"Hindi, Film",Anu Malik,"Abhilaash, Zafar Gorakhpuri, Indeevar, Faaiz Anwar, M.G. Hashmat, Kulwant Jani",Venus,0
da2b0985-6082-574f-ab62-fc3b30edb957,Hum Dono,1995,"Hindi, Film",Anand - Milind,Sameer,Tips,0
20f0bc0e-535c-58ae-a5e5-c94ba367e338,Hum Sub Chor Hain,1995,"Hindi, Film",Bappi Lahiri,Nawab Arzoo,Venus,0
