album_uuid,album_title,album_year,album_category,album_music_director,album_lyricist,album_label,album_rating
ef103889-4891-523a-92aa-2d603683678f,Aaj Ki Baat,1955,"Hindi, Film",Snehal Bhatkar,"Raj Baldev Raj, Kaif Irfani, Hasrat Jaipuri",H.M.V.,0
3a3522fe-986d-55e4-94e5-6cb84c07cf4c,Abe-Hayat,1955,"Hindi, Film",Sardar Malik,"Qamar Jalalabadi, Kaif Irfani, Hasrat Jaipuri, Raja Mehdi Ali Khan",H.M.V.,3.5
b154ae14-58c6-5f8e-8822-37bdd6037789,Adl-E-Jehangir,1955,"Hindi, Film",Husnlal - Bhagatram,Qamar Jalalabadi,H.M.V.,0
035396ca-e28a-5979-a79c-a53dc4cee101,Aladin Ka Beta (Tilasmi Chirag),1955,"Hindi, Film",S. Mohinder,Tanveer Naqvi,H.M.V.,0
f49ac0cf-39fa-5312-b1b2-cfd5016e13a1,Albeli,1955,"Hindi, Film",Ravi,"Raja Mehdi Ali Khan, Ravi",H.M.V.,3.0
ae530826-dfb9-5602-826f-b2cbf6ee3437,Amanat,1955,"Hindi, Film",Salil Chowdhury,Shailendra,H.M.V.,3.0
ade38cd7-64d0-5dda-87a5-6bda7b996a5d,Andher Nagri Chaupat Raja,1955,"Hindi, Film",Avinash Vyas,Bharat Vyas,H.M.V.,0
13f57eeb-c505-5e48-97ed-87946d7bd4de,Azaad,1955,"Hindi, Film",C. Ramchandra,Rajendra Krishan,H.M.V.,4.75
3c0b202f-14ee-548b-bf80-c1349d40814d,Baap Re Baap,1955,"Hindi, Film","O.P. Nayyar, C. Ramchandra",Jan Nisar Akhtar,H.M.V.,3.5
de0aca14-8f14-5661-accf-fdb7bfd133dd,Bagdad Ka Chore,1955,"Hindi, Film",B.N. Bali,"Sartaj, Harish Rana, Omar Khayyam Saharanpuri, Khalish Lakhnavi",Music Master - Bulbul Records,0
f972ff86-0c2b-59a4-8a2d-0be4c1efbce2,Bahu,1955,"Hindi, Film",Hemant Kumar,S.H. Bihari,H.M.V.,3.5
2d9969e6-40b4-5a6a-965a-468bde7a6baf,Bandish,1955,"Hindi, Film",Hemant Kumar,"Ravi, S.H. Bihari, Raja Mehdi Ali Khan, Prem Dhawan",H.M.V.,0
741220a0-36c3-5ace-8131-d0fd8bec6e3c,Bara-Dari,1955,"Hindi, Film",Nashad,Khumar Barabankvi,H.M.V.,4.0
a2832e72-0d4a-51f4-86cd-14baf59838f2,Bhagwat Mahima,1955,"Hindi, Film",Hemant Kumar,"Saraswati Kumar Deepak, S.H. Bihari, Pandit Madhur",H.M.V.,0
54752fbd-9564-51bf-915f-d3f8549e12ab,Bindiya,1955,"Hindi, Film",Snehal Bhatkar,"Arsh Haidari, S.H. Bihari, Bharat Vyas",H.M.V.,0
a18689bd-d9fb-5cef-96a4-3a982994ac2f,Bujhte Huye Chirag Par,1955,"Hindi, Non Film",Hemant Kumar,Madhukar Rajasthani,,0
b110e7e3-17b8-5915-baf9-70e85448f68f,Char Paise,1955,"Hindi, Film",B.D. Burman,Sartaj,H.M.V.,0
63672d86-61d8-5d3a-a825-22d3874372b2,Chhora Chhori,1955,"Hindi, Film",Roshan,"Kedar Sharma, Himmat Rai Sharma, Noor Devasi",H.M.V.,0
a9b52f44-5159-59b2-84b9-c654da5fe691,Chingari,1955,"Hindi, Film",Manohar,"Shailendra, Sahir Ludhianvi, Anjum",H.M.V.,3.5
511c584a-6fcd-594b-9d66-dbdd87cc402e,Daku,1955,"Hindi, Film",Snehal Bhatkar,"Manohar Khanna, Kaif Irfani, Kaif Bhopali",H.M.V.,0
c451c9f7-1f91-58b2-9ff8-3baaa439334f,Darbar,1955,"Hindi, Film",Hansraj Behl,"Asad Bhopali, Prem Dhawan",H.M.V.,0
d6a5605a-a0eb-533d-a19e-3f312f46c53f,Devdas,1955,"Hindi, Film",S.D. Burman,Sahir Ludhianvi,H.M.V.,3.5
d0231c8c-d72e-54e1-8ff7-64043105cf93,Do Dulhe,1955,"Hindi, Film",B.S. Kalla,Pandit Indra,H.M.V.,0
6489e71f-d0d1-5a19-9779-990d21c0ae77,Duniya Gol Hai,1955,"Hindi, Film",C. Ramchandra,Rajendra Krishan,H.M.V.,0
f8484881-6d71-5c55-9120-a9036bbce609,Ekadashi,1955,"Hindi, Film",Avinash Vyas,B.C. Madhur,H.M.V.,0
a2c63ca6-1826-5282-954f-1244d3ec64ce,Enam,1955,"Hindi, Film","S.N. Tripathi, Saraswati Devi","Raja Mehdi Ali Khan, Narendra Sharma",H.M.V.,0
