song_uuid,album_uuid,track_number,song_title,song_singers,song_rating,youtube_url,music_yt_url_1,music_yt_url_2,music_yt_url_3
acc60bb0-580b-5d48-a25b-66ff26fb85e4,1005f786-5ad4-5ac0-8a81-2b2adda0aa97,1,Aaj Watan Ne Humen Pukara,Mohammed Rafi,0.0,https://www.youtube.com/watch?v=n_kPDz9ZOAM,https://music.youtube.com/watch?v=n_kPDz9ZOAM,https://music.youtube.com/watch?v=oZJqzIviSFU,https://music.youtube.com/watch?v=WMCLo24q4HQ
421bdeb7-df57-5ec3-8f24-35af2261b56d,3dfbc255-cca4-5198-99fc-16f5da26cfe2,1,Gaya Ujala Suraj Dooba,Manna Dey,3.0,https://www.youtube.com/watch?v=07mAADYQvOk,https://music.youtube.com/watch?v=l0y9FVTtdaQ,,
eb867667-5fd2-51cd-a76b-debfc801032e,3dfbc255-cca4-5198-99fc-16f5da26cfe2,2,Dil Ka Diya Jala Ke Gaya Yeh Koi,Lata Mangeshkar,4.0,https://www.youtube.com/watch?v=MzQ7KSk8s1I,https://music.youtube.com/watch?v=1W1DuxM1vOU,https://music.youtube.com/watch?v=MzQ7KSk8s1I,https://music.youtube.com/watch?v=PmB90Mkcw_w
0363a8ed-779d-52f4-afc1-5a9c09cd0cab,3dfbc255-cca4-5198-99fc-16f5da26cfe2,3,Mile To Phir Jhuke Nahin Nazar,Lata Mangeshkar,3.67,https://www.youtube.com/watch?v=6afJ2itBRy4,https://music.youtube.com/watch?v=6afJ2itBRy4,https://music.youtube.com/watch?v=xV7Qj6STZz8,https://music.youtube.com/watch?v=Nn7NoqHb0qk
fb236df6-c176-5be5-ac5f-c61c3f92e112,3dfbc255-cca4-5198-99fc-16f5da26cfe2,4,Ja Raha Hoon Zindagi Se Door Main,"Asha Bhosle, Manna Dey, S. Balbir",3.0,https://www.youtube.com/watch?v=BXTe7SufvrA,https://music.youtube.com/watch?v=BXTe7SufvrA,https://music.youtube.com/watch?v=4dpZJtjn16Q,https://music.youtube.com/watch?v=mvz-WtwofCo
e3b29406-e6d8-5cba-89bc-82faeb35f610,3dfbc255-cca4-5198-99fc-16f5da26cfe2,5,Mujhe Dard-E-Dil Ka Pata Na Tha,Mohammed Rafi,3.67,https://www.youtube.com/watch?v=CyweCyAbCCM,https://music.youtube.com/watch?v=RvKmKdexoeM,https://music.youtube.com/watch?v=CyweCyAbCCM,https://music.youtube.com/watch?v=kqqYAfif6L8
efb8274b-a81c-5cb7-a6ec-2f0bf09a7278,3dfbc255-cca4-5198-99fc-16f5da26cfe2,8,Suniye Jaana Kya Pyar Mein Sharmaana,"Lata Mangeshkar, Mahendra Kapoor",3.33,https://www.youtube.com/watch?v=TLnAuOP8dLE,https://music.youtube.com/watch?v=_uUPN6YciQ4,https://music.youtube.com/watch?v=iXHD_f2uRjY,https://music.youtube.com/watch?v=6_J1Iclzo-I
0ba67484-dacd-501b-be6a-6974acd53f26,2722fa98-3ef0-501c-986b-eb14005d8311,1,Tune Samjha Hi Nahin Kya Hai Haqeeqat Meri,Vijaya Majumdar,0.0,https://www.youtube.com/watch?v=a63kUVbxDgk,https://music.youtube.com/watch?v=bIgR6WyVEEo,https://music.youtube.com/watch?v=a63kUVbxDgk,https://music.youtube.com/watch?v=nDrFW-OwTb4
e54593a7-4420-5c51-9bf8-707c990785e7,2722fa98-3ef0-501c-986b-eb14005d8311,2,Khoobsurat Hai Teri Tarah Shikayat Teri,Mahendra Kapoor,0.0,https://www.youtube.com/watch?v=zarYQBG5nTo,https://music.youtube.com/watch?v=uVCTBM42_UU,https://music.youtube.com/watch?v=zarYQBG5nTo,https://music.youtube.com/watch?v=iuF2or1OcpI
400aa33c-35ed-5935-83ec-ffbe97baf5e7,2722fa98-3ef0-501c-986b-eb14005d8311,3,Main Sharabi Hoon Lao Pilao Main Sharabi Hoon,"Vijaya Majumdar, Mahendra Kapoor",0.0,https://www.youtube.com/watch?v=yjka_h4BtUs,https://music.youtube.com/watch?v=Vk4LEtb-nPU,https://music.youtube.com/watch?v=8Y16WTTzSac,https://music.youtube.com/watch?v=9amRA1fciLk
