song_uuid,album_uuid,track_number,song_title,song_singers,song_rating,youtube_url
7c3edd2f-2244-592d-8fab-dd61cb426df6,ad2b4860-e8d9-51c4-94f7-5f71825794ab,1,17 Saal,Kemzyy,0.0,https://www.youtube.com/watch?v=xh7iptRntrA
4995ff06-cbcf-52c8-9fbf-a1cb7b545874,a0142290-5c30-5e60-ba6c-b4f7f74a1594,1,2 Many Girls,"Badshaah, Fazilpuria",0.0,https://www.youtube.com/watch?v=PJGVDaSaQWQ
c7c7c871-380e-58d3-b47e-9deff3af5fa9,a480554b-c237-5310-a0db-1e8a27d02a70,1,Bezubaan Phir Se (Bezubaan Kab Se Main Raha),"Vishal Dadlani, Anushka Manchanda, Madhav Krishna",4.33,https://www.youtube.com/watch?v=xutBFUf3LoU
6e2d5f6c-dd44-55a3-a009-0a54ea8dbb66,a480554b-c237-5310-a0db-1e8a27d02a70,2,Sun Saathiya,"Priya Saraiya, Divya Kumar",3.6,https://www.youtube.com/watch?v=TGpG56pg3UU
d35cfab1-b73e-5a16-8a20-c2090f3f5a9c,a480554b-c237-5310-a0db-1e8a27d02a70,3,Chunar (Mai Teri Chunariya Lahrai),Arijit Singh,3.5,https://www.youtube.com/watch?v=3W0f6mlPOKE
c733d847-6995-5385-b671-646c3b3cab67,a480554b-c237-5310-a0db-1e8a27d02a70,4,Happy Birthday,"Sachin Sanghvi, Jigar Saraiya, Varun Dhawan, D. Soldierz",3.0,https://www.youtube.com/watch?v=i2ceSzs2y4Q
02c85804-8f34-59e5-b6e5-53229689c111,a480554b-c237-5310-a0db-1e8a27d02a70,5,If You Hold My Hand,Benny Dayal,3.5,https://www.youtube.com/watch?v=OU7_n4nAb0Q
3a792e6f-03f9-55f3-95e6-01da34dd7240,a480554b-c237-5310-a0db-1e8a27d02a70,6,Hey Ganaraya,Divya Kumar,3.0,https://www.youtube.com/watch?v=v10jDT7SJsw
c65d1a2e-e543-5b20-8afd-1eecd7fa93f2,a480554b-c237-5310-a0db-1e8a27d02a70,7,Happy Hour,Mika Singh,2.0,https://www.youtube.com/watch?v=mBgdiGkMT4c
5d1a7b54-b853-51e1-94ea-91f724534402,a480554b-c237-5310-a0db-1e8a27d02a70,8,Naach Meri Jaan,"Benny Dayal, Shalmali Kholgade, Siddharth Basrur, Rimi Nique",0.0,https://www.youtube.com/watch?v=J1SVvFhabwY
b0698a31-77a1-5826-9157-b3f8460f1a7e,a480554b-c237-5310-a0db-1e8a27d02a70,9,Tattoo,Shefali Alvares,0.0,https://www.youtube.com/watch?v=s-_BENj1L4k
3613701d-c86b-506b-84a8-d6ade1f1c937,a480554b-c237-5310-a0db-1e8a27d02a70,10,Vande Mataram,"Daler Mehndi, Tanishka Sanghvi, Divya Kumar, Badshah",3.0,https://www.youtube.com/watch?v=Ki4_Fc3XoSk
849cd7fb-7959-56db-be02-c0f60dad371c,a480554b-c237-5310-a0db-1e8a27d02a70,11,Bezubaan Phir Se (Reprise),"Shraddha Kapoor, Neel Sharma",0.0,https://www.youtube.com/watch?v=JtW6GkJJ-A8
0d946618-7390-5752-a2a3-7bc47e71331c,277b3c42-63ab-5982-99aa-ff0cb14986dd,1,Aa Bhi Jaa Tu Kahin Se,Sonu Nigam,0.0,https://www.youtube.com/watch?v=i4YUugR043s
7bac0120-b5fb-5731-baa6-61a8a2f3b17a,0fd8c140-3f07-5d2e-91c0-c7166c6b4d29,1,Achha Hai,Vasuda Sharma,0.0,https://www.youtube.com/watch?v=Dv0HXahN5bY
7e5359c3-23ff-5c56-bea3-29e5d4d139cf,8918fe41-0c40-5119-abcf-4dbfb4ab5a6d,1,Aaj Mood Ishqholic Hai,Sonakshi Sinha,0.0,https://www.youtube.com/watch?v=RQzZQsI97II
7d472e14-2df2-5d38-870c-f2b76d00f0d4,2fe492bc-86b8-544e-8896-4601252837ff,2,Aaoge Tum Kabhi,The Local Train,3.0,https://www.youtube.com/watch?v=i96UO8-GFvw
7393e5fc-f6bf-5288-97c7-9062813b41d9,2fe492bc-86b8-544e-8896-4601252837ff,3,Bandey,The Local Train,3.0,https://www.youtube.com/watch?v=F4qqL1aBu5E
72fab7ec-4b9f-5676-86a2-db18a64355b8,2fe492bc-86b8-544e-8896-4601252837ff,4,Chhoo Lo,The Local Train,3.0,https://www.youtube.com/watch?v=uB5bf7LQPVU
1e91aba9-ec04-5a98-b0a5-1f395e41c3e4,2fe492bc-86b8-544e-8896-4601252837ff,5,Kaisey Jiyun,The Local Train,3.0,https://www.youtube.com/watch?v=8k0FFrtKnpQ
e60c7260-b0e6-5ae9-a6bb-42079f910838,2fe492bc-86b8-544e-8896-4601252837ff,6,Yeh Zindagi Hai,The Local Train,3.0,https://www.youtube.com/watch?v=SEqQCIMQfk0
a66acc14-041e-538a-97b7-ae680a2265ac,e038cf6a-c52b-5cb8-8d29-f0b3f52c97bb,1,Shabdon Mein,Madhav,0.0,https://www.youtube.com/watch?v=eXLxwUCOfeI
cda91bbc-f5bc-5867-b3f5-4aa5e466f3b8,e038cf6a-c52b-5cb8-8d29-f0b3f52c97bb,2,Aankhon Ne Tujhko Dekha,Madhav,0.0,https://www.youtube.com/watch?v=YLQL3TN1nEU
40eff27c-78fa-5e4e-8e8e-5676b088d215,e038cf6a-c52b-5cb8-8d29-f0b3f52c97bb,3,Tum Na Aaye,Madhav,0.0,https://www.youtube.com/watch?v=cPI0ciuC5-Y
c8b31631-09b2-5193-9abf-f0997581e8b6,e038cf6a-c52b-5cb8-8d29-f0b3f52c97bb,4,Lauta De Mujhko,Madhav,0.0,https://www.youtube.com/watch?v=jOhXrw2JEzs
ce88185a-3432-55bc-927f-30b0def19f74,e038cf6a-c52b-5cb8-8d29-f0b3f52c97bb,5,Ladki Hai Bholi Bhaali,Madhav,0.0,https://www.youtube.com/watch?v=ueI2RSSwFfU
0256e372-3d4e-5002-967a-93b2c06e2203,e038cf6a-c52b-5cb8-8d29-f0b3f52c97bb,6,Yun To Saawan,Madhav,0.0,https://www.youtube.com/watch?v=1r7_Z0p0T1A
d4e800d4-04a1-5631-9093-dbfb3cb70804,3bb50f5a-4ba9-5b18-ab87-8adf5aa6fafa,1,Aatish,Suhail Zargar,0.0,https://www.youtube.com/watch?v=9EAb471aY9I
cfa27ce0-5ab9-5f68-8866-63e4d1818c59,63326488-56f3-5618-89c3-ea676eb64c21,1,Ae Nazneen Suno Na (Reprise),Rahul Jain,3.0,https://www.youtube.com/watch?v=KToqhOxaFcw
a7e8321c-7768-59ac-b094-e1aac983ec08,8378d770-f083-555d-a8e4-65f6167bae23,1,Aelo Main Haari Piya (Remix Version),Vaishali Samant,0.0,https://www.youtube.com/watch?v=spq6xo9nUm0
e8121c78-2c7c-55c1-9877-712dbffd7b48,d46f271b-929e-5327-a280-922948af9413,1,Soch Naa Sake,"Amaal Malik, Arijit Singh, Tulsi Kumar",4.0,https://www.youtube.com/watch?v=MRtRcTfszjY
d61aee00-4560-5173-bd50-2b8e61396aa4,d46f271b-929e-5327-a280-922948af9413,2,Dil Cheez Tujhe De Di,"Ankit Tiwari, Arijit Singh",0.0,https://www.youtube.com/watch?v=BkA0lq-0f14
d933ec5e-9cba-5c2f-838b-83991171fb8c,d46f271b-929e-5327-a280-922948af9413,3,Aj Mera Nachan Nu Jee Karda,"Brijesh Shandilya, Divya Kumar, Amaal Malik",0.0,https://www.youtube.com/watch?v=mEYT1FPjWUc
025a0525-914f-5186-8b6b-6aa6f28fa692,d46f271b-929e-5327-a280-922948af9413,4,Tu Bhoola Jise,KK,0.0,https://www.youtube.com/watch?v=fiJWyk_a5HI
ff315164-afe5-5068-9492-f1d4933958cd,d46f271b-929e-5327-a280-922948af9413,5,Soch Naa Sake (Male),Arijit Singh,0.0,https://www.youtube.com/watch?v=skPuv-EppEg
d6cc2ce8-3e10-526e-bb8e-2cf6743dbf2a,46f9943b-f6b9-546f-8395-9d1c03964eac,1,Sautela Shahar,"Palash Sen, Kamakshi Khanna, Abid Khan Langa",0.0,https://www.youtube.com/watch?v=td6jwFXnQn4
bd2592ed-e3fb-515a-af31-3988268865e5,46f9943b-f6b9-546f-8395-9d1c03964eac,2,Lori (Nanhi Munni Chidiya),Anjana Padmanabhan,0.0,https://www.youtube.com/watch?v=JN108mncEnc
